"科目","王道章节","题号","考点","复习次数","最近复习日期","上次复习日期","距上次复习天数","上次间隔天数","更新日期"
"数据结构","第1章 绪论","02","算法基本概念","0","","","","","2026-09-07"
"数据结构","第1章 绪论","17","时间复杂度","0","","","","","2026-09-07"
"数据结构","第1章 绪论","03","逻辑结构与存储结构","0","","","","","2026-09-07"
"数据结构","第2章 线性表","06","单链表插入","0","","","","","2026-09-07"
"数据结构","第2章 线性表","07","有序单链表建立复杂度","0","","","","","2026-09-07"
"数据结构","第2章 线性表","21","循环单链表判空","0","","","","","2026-09-07"
"数据结构","第2章 线性表","31","静态链表特点","0","","","","","2026-09-07"
"数据结构","第2章 线性表","33","静态链表插入","0","","","","","2026-09-07"
"数据结构","第3章 栈队列数组","01","栈和队列逻辑结构","0","","","","","2026-09-07"
"数据结构","第3章 栈队列数组","13","卡特兰数","0","","","","","2026-09-07"
"数据结构","第3章 栈队列数组","23","栈输出序列与C标识符","0","","","","","2026-09-07"
"数据结构","第3章 栈队列数组","11","链式队列长度","0","","","","","2026-09-07"
"数据结构","第3章 栈队列数组","12","链式队列结构选择","0","","","","","2026-09-07"
"数据结构","第3章 栈队列数组","14","单链表实现队列","0","","","","","2026-09-07"
"数据结构","第3章 栈队列数组","07","递归函数执行顺序","0","","","","","2026-09-07"
"数据结构","第4-5章 树与二叉树","09","稀疏矩阵压缩存储缺点","0","","","","","2026-09-07"
"数据结构","第4-5章 树与二叉树","03","KMP与简单模式匹配复杂度","0","","","","","2026-09-07"
"数据结构","第5章 树与二叉树","03","树的路径长度","0","","","","","2026-09-07"
"数据结构","第5章 树与二叉树","01","二叉树基本性质","0","","","","","2026-09-07"
"数据结构","第5章 树与二叉树","08","二叉树结点度分布","0","","","","","2026-09-07"
"数据结构","第5章 树与二叉树","11","完全二叉树最少结点数","0","","","","","2026-09-07"
"数据结构","第5章 树与二叉树","19","二叉链表空指针与结点度","0","","","","","2026-09-07"
"数据结构","第5章 树与二叉树","28","顺序存储二叉树最少存储单元","0","","","","","2026-09-07"
"数据结构","第5章 树与二叉树","21","由中序升序构造遍历算法","0","","","","","2026-09-07"
"数据结构","第5章 树与二叉树","30","先序与后序正好相反","0","","","","","2026-09-07"
"数据结构","第5章 树与二叉树","02","二叉链表存储森林时根结点右指针","0","","","","","2026-09-07"
"操作系统","第1章 计算机系统概述","03","操作系统的职责边界","0","","","","","2026-09-07"
"操作系统","第1章 计算机系统概述","06","系统调用的使用方式","0","","","","","2026-09-07"
"操作系统","第1章 计算机系统概述","07","OS提供给编程人员的接口","0","","","","","2026-09-07"
"操作系统","第1章 计算机系统概述","01","提高资源利用率的关键技术","0","","","","","2026-09-07"
"操作系统","第1章 计算机系统概述","18","多道程序系统的优点","0","","","","","2026-09-07"
"操作系统","第1章 计算机系统概述","19","多任务操作系统的特点","0","","","","","2026-09-07"
"操作系统","第1章 计算机系统概述","04","OS必须提供的功能","0","","","","","2026-09-07"
"操作系统","第1章 计算机系统概述","06","中断处理程序的归属","0","","","","","2026-09-07"
"操作系统","第1章 计算机系统概述","03","模块化OS的特点","0","","","","","2026-09-07"
"操作系统","第1章 计算机系统概述","06","微内核应包含的功能","0","","","","","2026-09-07"
"操作系统","第1章 计算机系统概述","08","操作系统结构的综合判断","0","","","","","2026-09-07"
"操作系统","第1章 计算机系统概述","10","外核的职责边界","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","06","单处理器下运行态进程的数量","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","10","导致创建新进程的事件","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","11","OS控制管理进程的依据","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","12","进程状态变化的相互影响","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","14","释放独占资源的影响范围","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","10","FCFS与CPU/IO繁忙型作业的适配","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","24","作业与进程的本质区别","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","38","降低进程优先级的合理时机","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","41","不能进行处理机调度的情形","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","45","指定时刻的作业调度选择","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","03","信号量为负时绝对值的含义","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","18","同步信号量初值的确定","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","21","互斥锁的解锁权归属","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","28","管程的四个组成部分","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","29","管程signal与信号量V的区别","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","02","哲学家进餐防死锁手段与被破坏条件的配对","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","05","死锁产生的原因：分配不当vs资源不足","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","24","并发程序中共享变量的结果不确定性","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","27","死锁定理的归属（检测）","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","30","银行家算法允许分配的判据","0","","","","","2026-09-07"
"操作系统","第2章 进程与线程","39","死锁避免与死锁检测的区分","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","11","动态重定位依赖的部件","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","12","静态与动态重定位和程序移动","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","28","页表段表本身占用物理空间","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","41","主存的访问单位与分配单位","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","45","段页式无快表的访存次数","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","48","页表驻留内存与页表寄存器","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","50","分段对用户可见而非透明","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","51","段管用户空间页管物理空间","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","63","逻辑地址形成于链接阶段","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","02","页面尺寸与缺页次数的关系","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","09","存储保护的基本含义","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","18","虚存最大容量由地址结构决定","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","23","LRU软件实现开销高的直接原因","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","29","驻留集与工作集的包含关系","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","44","抖动的有效应对措施","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","60","最少页框数由寻址方式决定","0","","","","","2026-09-07"
"操作系统","第3章 内存管理","61","内存映射文件机制的功能边界","0","","","","","2026-09-07"
