日期,科目,王道章节,题号,考点,错误类型,正确答案,复查日期,详解文件
2026-05-05,数据结构,第1章 绪论,02,算法基本概念,概念不清,C,2026-05-06,数据结构/DS-01-绪论.md
2026-05-05,数据结构,第1章 绪论,17,时间复杂度,过程推导错,C,2026-05-06,数据结构/DS-01-绪论.md
2026-05-05,数据结构,第1章 绪论,03,逻辑结构与存储结构,概念不清,C,2026-05-06,数据结构/DS-01-绪论.md
2026-05-06,数据结构,第2章 线性表,06,单链表插入,过程推导错,C,2026-05-07,数据结构/DS-02-线性表.md
2026-05-06,数据结构,第2章 线性表,07,有序单链表建立复杂度,"概念不清;过程推导错",D,2026-05-07,数据结构/DS-02-线性表.md
2026-05-06,数据结构,第2章 线性表,21,循环单链表判空,概念不清,C,2026-05-07,数据结构/DS-02-线性表.md
2026-05-06,数据结构,第2章 线性表,31,静态链表特点,概念不清,B,2026-05-07,数据结构/DS-02-线性表.md
2026-05-06,数据结构,第2章 线性表,33,静态链表插入,过程推导错,D,2026-05-07,数据结构/DS-02-线性表.md
2026-05-08,数据结构,第3章 栈队列数组,01,栈和队列逻辑结构,概念不清,B,2026-05-09,数据结构/DS-03-栈队列数组.md
2026-05-08,数据结构,第3章 栈队列数组,13,卡特兰数,记忆遗漏,B,2026-05-09,数据结构/DS-03-栈队列数组.md
2026-05-08,数据结构,第3章 栈队列数组,23,栈输出序列与C标识符,"概念不清;过程推导错",C,2026-05-09,数据结构/DS-03-栈队列数组.md
2026-05-08,数据结构,第3章 栈队列数组,11,链式队列长度,概念不清,D,2026-05-09,数据结构/DS-03-栈队列数组.md
2026-05-08,数据结构,第3章 栈队列数组,12,链式队列结构选择,概念不清,B,2026-05-09,数据结构/DS-03-栈队列数组.md
2026-05-08,数据结构,第3章 栈队列数组,14,单链表实现队列,概念不清,A,2026-05-09,数据结构/DS-03-栈队列数组.md
2026-05-08,数据结构,第3章 栈队列数组,07,递归函数执行顺序,过程推导错,C,2026-05-09,数据结构/DS-03-栈队列数组.md
